
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:55:30.500 --> 00:55:32.800]   - You're just gonna have to keep updating that over time.
[00:55:32.800 --> 00:55:35.560]   But I think foundation model ops is maybe a better term
[00:55:35.560 --> 00:55:38.080]   because I also think that like within six months,
[00:55:38.080 --> 00:55:38.920]   we're gonna have images
[00:55:38.920 --> 00:55:40.380]   and then people won't call them
[00:55:40.380 --> 00:55:41.760]   just language models anymore.
[00:55:41.760 --> 00:55:44.120]   - Yeah, and is it worth a separate category than ML ops?
[00:55:44.120 --> 00:55:46.040]   - But I do think it's worth a separate category.
[00:55:46.040 --> 00:55:46.880]   - Okay.
[00:55:46.880 --> 00:55:48.920]   - I think that the people from it's for are different.
[00:55:48.920 --> 00:55:50.420]   We discussed this a little bit earlier, right?
[00:55:50.420 --> 00:55:51.480]   But a machine learning engineer
[00:55:51.480 --> 00:55:52.600]   and a traditional software engineer
[00:55:52.600 --> 00:55:53.920]   are very different people.
[00:55:53.920 --> 00:55:55.840]   They have different levels of knowledge
[00:55:55.840 --> 00:55:57.320]   and different goals.
[00:55:57.320 --> 00:55:59.880]   I also think that the generality of the models
[00:55:59.880 --> 00:56:01.920]   has changed what people are building.
[00:56:01.920 --> 00:56:03.920]   And so the problems they face are really different.
[00:56:03.920 --> 00:56:05.880]   It's, you know, like what you need
[00:56:05.880 --> 00:56:09.520]   for building a small recommender system at enormous scale
[00:56:09.520 --> 00:56:11.080]   is very different from what you need
[00:56:11.080 --> 00:56:13.680]   to build a generative AI application
[00:56:13.680 --> 00:56:14.720]   that's very subjective.
[00:56:14.720 --> 00:56:15.560]   - Yeah.
[00:56:15.560 --> 00:56:16.720]   - And so I do think that they have,
[00:56:16.720 --> 00:56:18.960]   I actually think like we've seen a lot of ML ops companies
[00:56:18.960 --> 00:56:21.800]   recently try to pivot into solving problems in this space.
[00:56:21.800 --> 00:56:23.320]   And I think it's gonna be hard for them
[00:56:23.320 --> 00:56:25.680]   because they're changing who they're building for.
[00:56:25.680 --> 00:56:28.040]   So they now have to straddle two different
[00:56:28.040 --> 00:56:30.320]   sort of ideal customer profiles.
[00:56:30.320 --> 00:56:32.040]   And they also have a lot of legacy infrastructure
[00:56:32.040 --> 00:56:33.560]   focused around models whose output
[00:56:33.560 --> 00:56:36.000]   was like a measurable quantifiable number.
[00:56:36.000 --> 00:56:38.720]   It was F1 or it was accuracy or something like this.
[00:56:38.720 --> 00:56:41.080]   And I think their lives are gonna keep getting harder
[00:56:41.080 --> 00:56:44.080]   as the models go more general and go multimodal.
[00:56:44.080 --> 00:56:44.920]   - Yeah.
[00:56:44.920 --> 00:56:45.800]   - Because what they've built so far
[00:56:45.800 --> 00:56:47.000]   just won't fit that world.
[00:56:47.000 --> 00:56:47.840]   - Yeah.
[00:56:47.840 --> 00:56:48.920]   - So I think it probably can be done,
[00:56:48.920 --> 00:56:50.300]   but I think it's gonna be very hard.
[00:56:50.300 --> 00:56:52.160]   - You mentioned deep store vision,
[00:56:52.160 --> 00:56:53.720]   and obviously there's more multimodal
[00:56:53.720 --> 00:56:54.640]   models coming along the way.
[00:56:54.640 --> 00:56:56.280]   How big does that factor into your planning?
[00:56:56.280 --> 00:56:59.080]   Because you're very language oriented right now.
[00:56:59.080 --> 00:57:02.040]   - So it's increasingly like an internal conversation.
[00:57:02.040 --> 00:57:03.840]   Every time we have a product roadmap discussion,
[00:57:03.840 --> 00:57:06.460]   like planning for and starting to iterate on
[00:57:06.460 --> 00:57:08.520]   and when to build in support for vision.
[00:57:08.520 --> 00:57:09.360]   - Yeah.
[00:57:09.360 --> 00:57:10.320]   - Has become very much front of mind.
[00:57:10.320 --> 00:57:13.240]   So I think like now, like we're working on it.
[00:57:13.240 --> 00:57:14.080]   - Okay.
[00:57:14.080 --> 00:57:16.400]   One version of this, I pose this exact same question
[00:57:16.400 --> 00:57:19.520]   to Harrison, which is, let's say the GPC4 Vision API
[00:57:19.520 --> 00:57:20.360]   drops tomorrow.
[00:57:20.360 --> 00:57:21.180]   - Yeah.
[00:57:21.180 --> 00:57:22.480]   - What changes in human loop?
[00:57:22.480 --> 00:57:24.360]   - Well, for one thing that you need just to be able,
[00:57:24.360 --> 00:57:25.720]   I mean like very simple things, right?
[00:57:25.720 --> 00:57:28.440]   Like we need to be able to render and read in images
[00:57:28.440 --> 00:57:30.160]   in the playground environment that's interactive, right?
[00:57:30.160 --> 00:57:32.560]   So there's a bunch of just kind of follow your nose things
[00:57:32.560 --> 00:57:34.160]   that I think we'd have to figure out.
[00:57:34.160 --> 00:57:36.360]   But as I said, we've just started working on this.
[00:57:36.360 --> 00:57:38.740]   It's sort of become a product roadmap item.
[00:57:38.740 --> 00:57:41.120]   We, but not like we have to support it.
[00:57:41.120 --> 00:57:42.240]   Like it's very clear.
[00:57:42.240 --> 00:57:44.720]   This is not a question of if, it's a question of when.
[00:57:44.720 --> 00:57:45.560]   - Okay.
[00:57:45.560 --> 00:57:47.240]   Yeah, yeah, excellent.
[00:57:47.240 --> 00:57:48.560]   Is prompt engineering dead?
[00:57:48.560 --> 00:57:50.320]   (laughs)
[00:57:50.320 --> 00:57:52.640]   - So we talked about this a little bit on the walk here,
[00:57:52.640 --> 00:57:54.760]   and I've never been a huge fan of the phrase
[00:57:54.760 --> 00:57:58.400]   prompt engineering, because I think it's simultaneously
[00:57:58.400 --> 00:57:59.920]   makes it not important enough
[00:57:59.920 --> 00:58:01.620]   and too important at the same time.
[00:58:01.620 --> 00:58:02.960]   I don't think it's a form of engineering
[00:58:02.960 --> 00:58:04.600]   in the way that software is a form of engineering,
[00:58:04.600 --> 00:58:06.920]   where it has this rich body of literature and theory
[00:58:06.920 --> 00:58:07.760]   and you have to learn about it
[00:58:07.760 --> 00:58:09.560]   and it takes like very specialist skill.
[00:58:09.560 --> 00:58:11.800]   I think you can get good at it very quickly,
[00:58:11.800 --> 00:58:14.780]   but I do think that prompts are a very important part
[00:58:14.780 --> 00:58:17.480]   of LM or AI applications, right?
[00:58:17.480 --> 00:58:19.640]   Like natural language written instructions
[00:58:19.640 --> 00:58:21.820]   have become part of your source code
[00:58:21.820 --> 00:58:23.460]   and they have impacts on your product quality,
[00:58:23.460 --> 00:58:24.840]   they have impacts on the way your product behaves.
[00:58:24.840 --> 00:58:26.760]   So you should be treated with that level of seriousness
[00:58:26.760 --> 00:58:29.400]   as you would any other code artifact.
[00:58:29.400 --> 00:58:31.080]   So in that sense, I don't think it's dead.
[00:58:31.080 --> 00:58:32.240]   I think it's alive and well
[00:58:32.240 --> 00:58:34.000]   and becoming increasingly important.
[00:58:34.000 --> 00:58:36.600]   It's interesting, there's like, you know,
[00:58:36.600 --> 00:58:40.040]   Anthropic had that very well paid job prompt engineer.
[00:58:40.040 --> 00:58:42.240]   And I think they've hired a few prompt engineers now as well
[00:58:42.240 --> 00:58:44.680]   and those people are leading on deployments in Anthropic
[00:58:44.680 --> 00:58:45.600]   and adding a lot of value.
[00:58:45.600 --> 00:58:48.040]   So there's clearly, it's clearly happening,
[00:58:48.040 --> 00:58:49.840]   but I think maybe it's slightly misnamed.
[00:58:49.840 --> 00:58:52.580]   I actually prefer your kind of AI engineer framing
[00:58:52.580 --> 00:58:55.220]   where this is a different engineering skill set.
[00:58:55.220 --> 00:58:56.380]   You still need to be able to build product,
[00:58:56.380 --> 00:58:57.540]   you're still an engineer,
[00:58:57.540 --> 00:59:00.060]   but you have an intuition for how to get the best
[00:59:00.060 --> 00:59:01.940]   out of models, how to evaluate them.
[00:59:01.940 --> 00:59:05.160]   You understand the problems that come from stochasticity
[00:59:05.160 --> 00:59:07.540]   and you also understand just the nuances.
[00:59:07.540 --> 00:59:08.740]   Like if you have a good mental model
[00:59:08.740 --> 00:59:10.700]   for how a large language model works,
[00:59:10.700 --> 00:59:13.300]   I think prompt engineering becomes a lot easier.
[00:59:13.300 --> 00:59:14.660]   And so having that skill set,
[00:59:14.660 --> 00:59:16.220]   I think is gonna be important.
[00:59:16.220 --> 00:59:18.260]   But I doubt that five years from now,
[00:59:18.260 --> 00:59:20.620]   there will be like a separate job title of prompt engineer.
[00:59:20.620 --> 00:59:21.860]   - Yeah, yeah.
[00:59:21.860 --> 00:59:24.740]   I try to contrast it basically as prompt engineering
[00:59:24.740 --> 00:59:28.820]   is still 2022 and AI engineering is 2023.
[00:59:28.820 --> 00:59:30.940]   But yeah, the central thesis is
[00:59:30.940 --> 00:59:31.940]   you can't just get by with prompts.
[00:59:31.940 --> 00:59:34.500]   You have to write code to manage prompts,
[00:59:34.500 --> 00:59:38.840]   to generate prompts and to generate code
[00:59:38.840 --> 00:59:41.380]   and to for you to evaluate and run that code.
[00:59:41.380 --> 00:59:43.140]   - Yeah, I think I'd agree with all of that.
[00:59:43.140 --> 00:59:45.380]   But to me, that doesn't diminish the importance
[00:59:45.380 --> 00:59:46.220]   of the prompts as an artifact in the system.
[00:59:46.220 --> 00:59:47.660]   - Yes, still important.
[00:59:47.660 --> 00:59:48.940]   - I feel like when I saw Chain of Thought
[00:59:48.940 --> 00:59:51.900]   for the first time, I went from a world in which I was like,
[00:59:51.900 --> 00:59:53.340]   okay, models are not good at reasoning
[00:59:53.340 --> 00:59:55.300]   to models can do some reasoning.
[00:59:55.300 --> 00:59:57.260]   It was a sort of step change in my beliefs
[00:59:57.260 --> 00:59:59.660]   about the capabilities of these models.
[00:59:59.660 --> 01:00:02.260]   And I still think that the LLM Cascades paper
[01:00:02.260 --> 01:00:03.100]   hasn't had the impact that it should have.
[01:00:03.100 --> 01:00:04.820]   - Can you summarize that?
[01:00:04.820 --> 01:00:07.660]   - So this was a paper from Google
[01:00:07.660 --> 01:00:11.500]   and it's just sort of getting you to view LLMs
[01:00:11.500 --> 01:00:13.100]   as a way of doing inference
[01:00:13.100 --> 01:00:14.900]   in a probabilistic programming framework.
[01:00:14.900 --> 01:00:16.100]   So that's a lot of words.
[01:00:16.100 --> 01:00:16.940]   So let me try and sort of unpack that.
[01:00:16.940 --> 01:00:18.940]   - And you have a PhD in this.
[01:00:18.940 --> 01:00:23.420]   - But before AI was all LLMs, there was,
[01:00:23.420 --> 01:00:25.220]   and there still is, a huge branch of research
[01:00:25.220 --> 01:00:26.980]   around probabilistic programs.
[01:00:26.980 --> 01:00:29.660]   So this is just ways of writing code
[01:00:29.660 --> 01:00:32.500]   where probability and random variables
[01:00:32.500 --> 01:00:33.780]   are first class citizen.
[01:00:33.780 --> 01:00:35.140]   So you can have random variables
[01:00:35.140 --> 01:00:36.540]   and then there's lots of different operations
[01:00:36.540 --> 01:00:39.540]   you can do to condition and make predictions about them
[01:00:39.540 --> 01:00:41.180]   and do inferences around them.
[01:00:41.180 --> 01:00:43.380]   And this language modeling Cascades paper
[01:00:43.380 --> 01:00:46.260]   basically said, hey, actually large language models
[01:00:46.260 --> 01:00:49.300]   are a really powerful inference engine
[01:00:49.300 --> 01:00:52.020]   that could be used as a composable piece
[01:00:52.020 --> 01:00:53.300]   inside something that looks like
[01:00:53.300 --> 01:00:55.580]   a probabilistic programming language.
[01:00:55.580 --> 01:00:57.740]   And we were chatting earlier today
[01:00:57.740 --> 01:00:59.580]   about the framework that will emerge
[01:00:59.580 --> 01:01:00.620]   for large language models.
[01:01:00.620 --> 01:01:01.780]   And I know you're working on small
[01:01:01.780 --> 01:01:03.300]   and you've given this a lot of thought
[01:01:03.300 --> 01:01:05.180]   and, you know, LangChain and LamaIndex
[01:01:05.180 --> 01:01:06.660]   and all these different groups,
[01:01:06.660 --> 01:01:09.340]   AutoGPT are trying to circle around
[01:01:09.340 --> 01:01:10.900]   like what's the right set of abstractions?
[01:01:10.900 --> 01:01:12.980]   How might we be able to compose LLMs
[01:01:12.980 --> 01:01:15.380]   in ways to write more complex programs?
[01:01:15.380 --> 01:01:17.020]   And I think that LLM Cascades paper
[01:01:17.020 --> 01:01:19.180]   was one of the first attempts to think about that
[01:01:19.180 --> 01:01:20.900]   in first principles and say,
[01:01:20.900 --> 01:01:22.420]   okay, what are the primitives you might want?
[01:01:22.420 --> 01:01:24.980]   And I think I'm surprised it hasn't been built on more.
[01:01:24.980 --> 01:01:25.980]   - Yeah.
[01:01:25.980 --> 01:01:29.820]   The very, very first AI grant from Nat Friedman
[01:01:29.820 --> 01:01:33.260]   mentioned that they were looking for a UI for Cascades
[01:01:33.260 --> 01:01:34.460]   and no one took them up on it.
[01:01:34.460 --> 01:01:35.300]   - I don't think it needs a UI.
[01:01:35.300 --> 01:01:37.300]   I think it needs a, I think it's a--
[01:01:37.300 --> 01:01:38.140]   - It's a framework.
[01:01:38.140 --> 01:01:38.980]   - It's a framework.
[01:01:38.980 --> 01:01:40.020]   I think you want it in code.
[01:01:40.020 --> 01:01:41.020]   And I would love to work on it
[01:01:41.020 --> 01:01:42.220]   if I had all the time in the world.
[01:01:42.220 --> 01:01:44.340]   It's sort of, you always have to choose your,
[01:01:44.340 --> 01:01:45.580]   you know, you can't do everything at once.
[01:01:45.580 --> 01:01:48.140]   - Well, if someone is working on it, maybe reach out and--
[01:01:48.140 --> 01:01:49.260]   - I would love to chat to people about it
[01:01:49.260 --> 01:01:50.140]   who are working on it. - And give some feedback.
[01:01:50.140 --> 01:01:50.980]   Yeah.
[01:01:50.980 --> 01:01:52.180]   How many of your customers and users
[01:01:52.180 --> 01:01:54.000]   are actually worried about prompt injection
[01:01:54.000 --> 01:01:55.000]   and prompt security?
[01:01:55.000 --> 01:01:57.340]   - Not enough.
[01:01:57.340 --> 01:01:58.180]   - Really?
[01:01:58.180 --> 01:01:59.020]   - So I would say almost zero.
[01:01:59.020 --> 01:01:59.840]   - Yeah.
[01:01:59.840 --> 01:02:01.420]   - And I think that's correct today
[01:02:01.420 --> 01:02:04.340]   because very few of our customers have action-taking LLMs.
[01:02:04.340 --> 01:02:05.180]   - Yeah.
[01:02:05.180 --> 01:02:07.420]   - And I think as long as your models are like read-only,
[01:02:07.420 --> 01:02:08.860]   prompt injection isn't that big a deal.
[01:02:08.860 --> 01:02:10.820]   Like, it's not to me about like leaking your prompts
[01:02:10.820 --> 01:02:12.540]   or something, 'cause the prompts are only really valuable
[01:02:12.540 --> 01:02:14.500]   in the context of your code anyway.
[01:02:14.500 --> 01:02:17.240]   But I do think that once you get to the stage
[01:02:17.240 --> 01:02:19.660]   where you're letting the models have read-write access
[01:02:19.660 --> 01:02:21.260]   to any source of data,
[01:02:21.260 --> 01:02:22.820]   then prompt injection becomes a problem
[01:02:22.820 --> 01:02:25.660]   the same way any other form of code injection is a problem.
[01:02:25.660 --> 01:02:27.460]   But honestly, no one ever asks us about it.
[01:02:27.460 --> 01:02:28.300]   - Right.
[01:02:28.300 --> 01:02:29.120]   - Like, almost never.
[01:02:29.120 --> 01:02:29.960]   - Yeah.
[01:02:29.960 --> 01:02:30.780]   - And I think that's because of the stage
[01:02:30.780 --> 01:02:31.620]   where people are at, right?
[01:02:31.620 --> 01:02:32.700]   Which is that they're still trying
[01:02:32.700 --> 01:02:33.880]   to overcome hallucinations
[01:02:33.880 --> 01:02:35.940]   and they're still trying to put guardrails in place
[01:02:35.940 --> 01:02:37.820]   around the behavior of the models.
[01:02:37.820 --> 01:02:40.340]   And very few people are using agents in production
[01:02:40.340 --> 01:02:41.940]   at meaningfully sized companies.
[01:02:41.940 --> 01:02:42.780]   - Yeah.
[01:02:42.780 --> 01:02:44.940]   - But I think as soon as that becomes the case,
[01:02:44.940 --> 01:02:47.460]   if we do get to a stage where more people
[01:02:47.460 --> 01:02:49.400]   are allowing the models to read from a data source
[01:02:49.400 --> 01:02:50.900]   and write to a data source,
[01:02:50.900 --> 01:02:53.220]   then prompt injection will become something they care about.
[01:02:53.220 --> 01:02:55.100]   - Yeah, and you guys will be well positioned
[01:02:55.100 --> 01:02:56.240]   to offer something.
[01:02:56.240 --> 01:02:57.160]   - Absolutely.
[01:02:57.160 --> 01:03:01.180]   I think sort of being this layer between the raw model
[01:03:01.180 --> 01:03:03.540]   and the end application actually buys us a lot
[01:03:03.540 --> 01:03:04.740]   in terms of what we can help with.
[01:03:04.740 --> 01:03:05.900]   - Yeah, well, you know,
[01:03:05.900 --> 01:03:07.540]   there are a bunch of security-minded people
[01:03:07.540 --> 01:03:10.700]   who are trying to offer that as a standalone thing,
[01:03:10.700 --> 01:03:12.180]   and it's a feature, not a product.
[01:03:12.180 --> 01:03:14.380]   - I think I'd agree with that.
[01:03:14.380 --> 01:03:17.020]   - OpenAI's fine-tuning rollout, which was last month,
[01:03:17.020 --> 01:03:19.180]   how does that affect HumanLoop?
[01:03:19.180 --> 01:03:22.420]   - Yeah, so when we started the first version of HumanLoop,
[01:03:22.420 --> 01:03:24.660]   GPT, chat GPT 3.5 wasn't out yet.
[01:03:24.660 --> 01:03:25.940]   It was all GPT-3,
[01:03:25.940 --> 01:03:28.060]   and we saw a lot of fine-tuning at the time.
[01:03:28.060 --> 01:03:31.820]   And post the release of 3.5 and 4,
[01:03:31.820 --> 01:03:34.340]   by virtue of the fact that it was impossible to fine-tune,
[01:03:34.340 --> 01:03:35.500]   like we could just see it in our analytics,
[01:03:35.500 --> 01:03:37.620]   the amount of fine-tuning just kind of fell off a cliff.
[01:03:37.620 --> 01:03:39.620]   Partly, I think, because the models were better,
[01:03:39.620 --> 01:03:41.660]   but also just partly, like, it wasn't an option.
[01:03:41.660 --> 01:03:44.300]   And so I'm kind of interested to see,
[01:03:44.300 --> 01:03:47.020]   now that 3.5 and 4 fine-tuning are back,
[01:03:47.020 --> 01:03:48.500]   whether that kind of fully recovers--
[01:03:48.500 --> 01:03:49.620]   - 4 isn't back yet, but it's--
[01:03:49.620 --> 01:03:52.900]   - But 3.5 fine-tuning being back.
[01:03:52.900 --> 01:03:55.700]   We've definitely seen a lot in the past,
[01:03:55.700 --> 01:03:58.380]   people generating outputs with GPT-4,
[01:03:58.380 --> 01:04:01.780]   filtering based off evaluation or feedback criteria,
[01:04:01.780 --> 01:04:04.340]   and then fine-tuning smaller, faster models.
[01:04:04.340 --> 01:04:07.740]   And so I think we likely see a lot of fine-tuning
[01:04:07.740 --> 01:04:10.300]   of GPT-3.5 on 4-generated data,
[01:04:10.300 --> 01:04:12.100]   and that's a workflow that we've been,
[01:04:12.100 --> 01:04:14.220]   we natively support within HumanLoop now.
[01:04:14.220 --> 01:04:16.060]   So you can actually kind of do all of those things
[01:04:16.060 --> 01:04:17.620]   without having to leave it.
[01:04:17.620 --> 01:04:18.780]   If you have a bunch of generations,
[01:04:18.780 --> 01:04:20.580]   you can filter them on some criteria,
[01:04:20.580 --> 01:04:22.700]   click fine-tune, run it ahead of evals,
[01:04:22.700 --> 01:04:25.520]   and then decide whether or not to deploy that model.
[01:04:25.520 --> 01:04:27.620]   But time will tell as to whether or not
[01:04:27.620 --> 01:04:30.140]   this is something that goes back up in importance
[01:04:30.140 --> 01:04:31.140]   the way it used to be.
[01:04:31.140 --> 01:04:31.980]   - Yeah.
[01:04:31.980 --> 01:04:33.940]   The follow-up question that occurs to me,
[01:04:33.940 --> 01:04:35.740]   always, we talk about you being that layer
[01:04:35.740 --> 01:04:37.980]   that positions you very well.
[01:04:37.980 --> 01:04:40.280]   A lot of people are fighting to be that layer.
[01:04:40.280 --> 01:04:44.780]   And it occurs to me that as a user,
[01:04:44.780 --> 01:04:47.740]   potentially, of HumanLoop and your competitors,
[01:04:47.740 --> 01:04:51.380]   that I may not want to have to choose or be locked in.
[01:04:51.380 --> 01:04:55.100]   Is there room for an open standard that everyone agrees to,
[01:04:55.100 --> 01:04:56.540]   that we all say, like, okay,
[01:04:56.540 --> 01:04:59.620]   just adopt this one vendor-neutral thing,
[01:04:59.620 --> 01:05:01.180]   and then we all consume from it?
[01:05:01.180 --> 01:05:03.060]   - Maybe.
[01:05:04.180 --> 01:05:05.740]   I think it could happen.
[01:05:05.740 --> 01:05:07.660]   We're not there yet.
[01:05:07.660 --> 01:05:10.580]   I think things are moving too fast for that to be the case,
[01:05:10.580 --> 01:05:12.340]   for people to have clarity on that.
[01:05:12.340 --> 01:05:16.140]   So maybe in the fullness of time, there will be.
[01:05:16.140 --> 01:05:19.100]   My suspicion is that both will happen, right?
[01:05:19.100 --> 01:05:20.720]   That there will be some open standard
[01:05:20.720 --> 01:05:23.100]   that some people like to use.
[01:05:23.100 --> 01:05:25.940]   But once you come to working on
[01:05:25.940 --> 01:05:27.340]   serious production use cases,
[01:05:27.340 --> 01:05:29.180]   you often actually want the peace of mind
[01:05:29.180 --> 01:05:31.160]   of knowing that you're paying a real company
[01:05:31.160 --> 01:05:33.060]   that's gonna be around to support you,
[01:05:33.060 --> 01:05:34.520]   that is focused on this,
[01:05:34.520 --> 01:05:37.380]   that has the knowledge and expertise.
[01:05:37.380 --> 01:05:39.940]   And so, as we've seen in many other spaces,
[01:05:39.940 --> 01:05:41.740]   I suspect that there'll be a bit of both.
[01:05:41.740 --> 01:05:42.820]   - Bit of both, yeah.
[01:05:42.820 --> 01:05:44.580]   So the model I have in mind is Datadog
[01:05:44.580 --> 01:05:47.300]   versus the OpenTelemetry crew.
[01:05:47.300 --> 01:05:48.580]   - Yeah, and Datadog's doing fine,
[01:05:48.580 --> 01:05:51.120]   and the OpenTelemetry crew's doing great as well.
[01:05:51.120 --> 01:05:53.580]   - So last question on the market.
[01:05:53.580 --> 01:05:55.280]   Did GPT-4 get dumber this year?
[01:05:55.280 --> 01:05:57.400]   - I don't think so.
[01:05:57.400 --> 01:06:00.900]   We've seen a lot of conversation about this having happened.
[01:06:00.900 --> 01:06:03.100]   I think GPT-4 changed.
[01:06:03.100 --> 01:06:06.140]   I think that they are regularly updating it,
[01:06:06.140 --> 01:06:07.340]   and you certainly see that
[01:06:07.340 --> 01:06:08.860]   both in sort of people's attempts to,
[01:06:08.860 --> 01:06:09.980]   papers being written about this,
[01:06:09.980 --> 01:06:12.360]   and people are trying to do evaluations over time.
[01:06:12.360 --> 01:06:14.780]   I think that the main takeaway shouldn't be like,
[01:06:14.780 --> 01:06:16.420]   did GPT-4 get dumber, right?
[01:06:16.420 --> 01:06:18.540]   But the interesting question is like, did GPT-4 change?
[01:06:18.540 --> 01:06:20.780]   To which the answer, I think, is definitely yes.
[01:06:20.780 --> 01:06:22.380]   There's no question about that.
[01:06:22.380 --> 01:06:24.420]   And it's something that if you're a developer
[01:06:24.420 --> 01:06:27.060]   building products on top of GPT-4,
[01:06:27.060 --> 01:06:28.540]   it's something that you should think about a lot,
[01:06:28.540 --> 01:06:30.140]   because you're building on a platform
[01:06:30.140 --> 01:06:32.060]   that will evolve and change over time.
[01:06:32.060 --> 01:06:34.700]   And you can pin the base model, but not forever.
[01:06:34.700 --> 01:06:37.460]   And so I think you need to, at the very least,
[01:06:37.460 --> 01:06:39.180]   have really good testing frameworks
[01:06:39.180 --> 01:06:40.380]   to be able to run regression tests
[01:06:40.380 --> 01:06:43.540]   and know, like, have things gotten worse over time, right?
[01:06:43.540 --> 01:06:45.340]   If you can't answer that for yourself,
[01:06:45.340 --> 01:06:46.380]   you're gonna be scratching your head.
[01:06:46.380 --> 01:06:47.540]   Like, did we make the prompts worse?
[01:06:47.540 --> 01:06:49.140]   Did the retrieval system get worse?
[01:06:49.140 --> 01:06:50.260]   Did something else change?
[01:06:50.260 --> 01:06:52.280]   Did the user input distribution change?
[01:06:52.280 --> 01:06:53.560]   Or did the model get worse?
[01:06:53.560 --> 01:06:55.420]   And being able to disentangle those things easily,
[01:06:55.420 --> 01:06:57.620]   I think the importance of that's gonna go up.
[01:06:57.620 --> 01:06:59.140]   But I also think that it should like,
[01:06:59.140 --> 01:07:01.420]   give us pause for thought about kind of the balance
[01:07:01.420 --> 01:07:05.100]   between what gets built on top of third-party providers
[01:07:05.100 --> 01:07:06.340]   and APIs in a closed world,
[01:07:06.340 --> 01:07:09.300]   and what we might wanna do more open source.
[01:07:09.300 --> 01:07:10.620]   And I suspect there'll be a mixture of both,
[01:07:10.620 --> 01:07:11.980]   depending on the use case.
[01:07:11.980 --> 01:07:14.380]   But you are building on shifting sand
[01:07:14.380 --> 01:07:16.220]   whenever you're building on someone else's platform.
[01:07:16.220 --> 01:07:17.860]   - Yeah, yeah, totally.
[01:07:17.860 --> 01:07:19.380]   And then one local specific question
[01:07:19.380 --> 01:07:22.580]   before we go to the takeaway questions.
[01:07:22.580 --> 01:07:24.260]   You went through IC. - Yeah.
[01:07:24.260 --> 01:07:26.080]   - And you are very, very familiar
[01:07:26.080 --> 01:07:27.540]   with the American tech scene.
[01:07:27.540 --> 01:07:30.460]   But also you built your company here in London.
[01:07:30.460 --> 01:07:32.700]   What should, and I'm very US-focused,
[01:07:32.700 --> 01:07:34.860]   most of our audience is very US-centric.
[01:07:34.860 --> 01:07:39.380]   What should people know about the European tech scene?
[01:07:39.380 --> 01:07:41.860]   - Yeah, so I think that London's one of the best places
[01:07:41.860 --> 01:07:45.100]   in the world, and Paris, for AI-focused folks.
[01:07:45.100 --> 01:07:46.340]   - With the hugging phase, I don't know what's--
[01:07:46.340 --> 01:07:47.580]   - We've got a hugging phase in Paris.
[01:07:47.580 --> 01:07:48.640]   Where we're sitting right now,
[01:07:48.640 --> 01:07:50.940]   we're probably less than 200 meters
[01:07:50.940 --> 01:07:52.360]   from the offices of DeepMind.
[01:07:52.360 --> 01:07:54.460]   Facebook AI Research is here as well.
[01:07:54.460 --> 01:07:56.220]   UCL's AI Center is here,
[01:07:56.220 --> 01:07:58.340]   which is where Geoff Hinton was,
[01:07:58.340 --> 01:07:59.180]   and where a lot of great research,
[01:07:59.180 --> 01:08:00.700]   this is where DeepMind spun out of, actually.
[01:08:00.700 --> 01:08:03.480]   So Shane Legge and Demis met at UCL.
[01:08:03.480 --> 01:08:05.660]   So there's an amazing, and there's many more.
[01:08:05.660 --> 01:08:07.180]   I can't list everything that's great,
[01:08:07.180 --> 01:08:10.260]   but there's many great AI institutions in the UK.
[01:08:10.260 --> 01:08:12.240]   What I would say is that I think that Europe
[01:08:12.240 --> 01:08:14.420]   is being amazing on research,
[01:08:14.420 --> 01:08:18.900]   and continues to be a fantastic place for researchers,
[01:08:18.900 --> 01:08:21.020]   but has been less good, in my experience,
[01:08:21.020 --> 01:08:24.420]   on productizing and trying to productize AI.
[01:08:24.420 --> 01:08:26.540]   And so the difference that I feel,
[01:08:26.540 --> 01:08:28.700]   being here versus being in the US,
[01:08:28.700 --> 01:08:31.460]   is just the number of, like if I go to San Francisco,
[01:08:31.460 --> 01:08:34.740]   the density of people who are trying to build useful things
[01:08:34.740 --> 01:08:36.420]   with large language models or with AI,
[01:08:36.420 --> 01:08:38.140]   and butting their head up against it,
[01:08:38.140 --> 01:08:40.380]   and discovering what works and what doesn't work,
[01:08:40.380 --> 01:08:42.940]   and trying great ideas, or trying stupid ideas,
[01:08:42.940 --> 01:08:45.020]   and just learning together,
[01:08:45.020 --> 01:08:46.920]   is much richer than what we have here.
[01:08:46.920 --> 01:08:51.380]   I think the pure research labs, very competitive.
[01:08:51.380 --> 01:08:52.820]   Anthropx just opened an office here.
[01:08:52.820 --> 01:08:55.100]   OpenAI's opening an office here.
[01:08:55.100 --> 01:08:56.260]   When you're hiring for talent,
[01:08:56.260 --> 01:08:58.340]   you'll find as many or better people,
[01:08:58.340 --> 01:09:00.820]   like equal quality people in both places,
[01:09:00.820 --> 01:09:03.460]   but less so once you move towards productization.
[01:09:03.460 --> 01:09:07.080]   And I suspect it's also to do with the investor ecosystem.
[01:09:07.080 --> 01:09:09.420]   So we're sitting in the offices of Local Globe.
[01:09:09.420 --> 01:09:11.180]   Local Globe and Index were our first investors,
[01:09:11.180 --> 01:09:12.660]   and they're both great,
[01:09:12.660 --> 01:09:14.660]   but the number of investors that you have
[01:09:14.660 --> 01:09:17.420]   of that quality in Europe is not the same as the US,
